Id,Date,Town,URI,AveragePrice,HousesSold
CityOfLondon1995-01-01T00:00Z,1995-01-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,91449,17.0
CityOfLondon1995-02-01T00:00Z,1995-02-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,82203,7.0
CityOfLondon1995-03-01T00:00Z,1995-03-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,79121,14.0
CityOfLondon1995-04-01T00:00Z,1995-04-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,77101,7.0
CityOfLondon1995-05-01T00:00Z,1995-05-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,84409,10.0
CityOfLondon1995-06-01T00:00Z,1995-06-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,94901,17.0
CityOfLondon1995-07-01T00:00Z,1995-07-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,110128,13.0
CityOfLondon1995-08-01T00:00Z,1995-08-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,112329,14.0
CityOfLondon1995-09-01T00:00Z,1995-09-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,104473,17.0
CityOfLondon1995-10-01T00:00Z,1995-10-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,108038,14.0
CityOfLondon1995-11-01T00:00Z,1995-11-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,117636,11.0
CityOfLondon1995-12-01T00:00Z,1995-12-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,127232,18.0
CityOfLondon1996-01-01T00:00Z,1996-01-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,108999,17.0
CityOfLondon1996-02-01T00:00Z,1996-02-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,93357,10.0
CityOfLondon1996-03-01T00:00Z,1996-03-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,93707,17.0
CityOfLondon1996-04-01T00:00Z,1996-04-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,120543,14.0
CityOfLondon1996-05-01T00:00Z,1996-05-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,112050,19.0
CityOfLondon1996-06-01T00:00Z,1996-06-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,114226,28.0
CityOfLondon1996-07-01T00:00Z,1996-07-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,97547,30.0
CityOfLondon1996-08-01T00:00Z,1996-08-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,114179,25.0
CityOfLondon1996-09-01T00:00Z,1996-09-01T00:00:00Z,City Of London,https://www.wikidata.org/wiki/Q23311,108138,32.0
