CÓDIGO,DESCRIPCION,Wikidata station URI,LATITUD,LONGITUD,DIRECCIÓN 1,NUMERO,C.P.,Wikidata poblacion URI,POBLACION,Wikidata provincia URI,PROVINCIA,Fichas,Túneles lavado
54505,Malaga Airport train station,https://www.wikidata.org/wiki/Q8779199,36.6760678,-4.4879567,AVENIDA COMANDANTE GARCIA MORATO,0,29140,,Málaga,,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54505.pdf,
54407,Aljaima train station,https://www.wikidata.org/wiki/Q5845653,36.733092,-4.664725,CARRETERA A-7054 - ESTACION FERROCARRIL,0,29580,https://www.wikidata.org/wiki/Q935266,Cártama,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54407.pdf,
54405,Estación de Álora,https://www.wikidata.org/wiki/Q8842737,36.819838,-4.699623,CALLE ESTACION FERROCARRIL,2,29510,https://www.wikidata.org/wiki/Q250746,Álora,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54405.pdf,
54511,Benalmádena-Arroyo de la Miel railway station,https://www.wikidata.org/wiki/Q5845802,36.599091,-4.536341,AVENIDA DE LA ESTACION,3,29631,https://www.wikidata.org/wiki/Q488869,Benalmádena,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54511.pdf,
54410,Campanillas train station,https://www.wikidata.org/wiki/Q5845932,36.705011,-4.545516,CALLE ALMENCINO - ESTACION FERROCARRIL,0,29196,https://www.wikidata.org/wiki/Q8851,Málaga,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54410.pdf,
54408,Cartama Railway Station,https://www.wikidata.org/wiki/Q5846106,36.7334013,-4.6093394,BARRIADA GARCIA AGUA,0,29580,https://www.wikidata.org/wiki/Q935266,Cártama,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54408.pdf,
54513,estación de Carvajal,https://www.wikidata.org/wiki/Q5845978,36.570308,-4.594023,CALLE SIERRA DE CAZORLA,0,29640,https://www.wikidata.org/wiki/Q492735,Fuengirola,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54513.pdf,
54510,El Pinillo train station,https://www.wikidata.org/wiki/Q5846177,36.6101783,-4.5146208,DECANOM JUAN DE HOYOS,0,29620,https://www.wikidata.org/wiki/Q492737,Torremolinos,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54510.pdf,
54516,Fuengirola train station,https://www.wikidata.org/wiki/Q11681648,36.546263,-4.6203322,AVENIDA JESUS SANTOS REIN,0,29640,https://www.wikidata.org/wiki/Q492735,Fuengirola,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54516.pdf,
54503,Guadalhorce train station,https://www.wikidata.org/wiki/Q959331,36.6921154,-4.4831263,CALLE CESAR VALLEJO - ESTACION FERROCARRIL,0,29004,https://www.wikidata.org/wiki/Q8851,Málaga,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54503.pdf,
54508,"La Colina train station, Spain",https://www.wikidata.org/wiki/Q5846469,36.6401889,-4.4952547,URBANIZACION LA COLINA,0,29620,https://www.wikidata.org/wiki/Q492737,Torremolinos,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54508.pdf,
54518,Los Álamos train station,https://www.wikidata.org/wiki/Q5846641,36.6452816,-4.4848827,CALLE MENTON,0,29620,https://www.wikidata.org/wiki/Q492737,Torremolinos,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54518.pdf,
54515,Los Boliches train station,https://www.wikidata.org/wiki/Q8840986,36.5515902,-4.6166673,AVENIDA DE LOS BOLICHES,0,29640,https://www.wikidata.org/wiki/Q492735,Fuengirola,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54515.pdf,
54412,Los Prados train station,https://www.wikidata.org/wiki/Q5846635,36.6988637,-4.4778853,CALLE CAMINO PRADOS,0,29006,https://www.wikidata.org/wiki/Q8851,Málaga,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54412.pdf,
54413,Málaga-María Zambrano Railway Station,https://www.wikidata.org/wiki/Q801214,36.7113412,-4.4328779,CALLE EXPLANADA DE LA ESTACION,0,29002,https://www.wikidata.org/wiki/Q8851,Málaga,https://www.wikidata.org/wiki/Q95028,Málaga Province,,
54517,Málaga Centro-Alameda railway station,https://www.wikidata.org/wiki/Q604972,36.71965,-4.420019,AVENIDA AURORA,0,29002,https://www.wikidata.org/wiki/Q8851,Málaga,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54517.pdf,
54519,Montemar Alto train station,https://www.wikidata.org/wiki/Q5846743,36.6138194,-4.5089797,JACINTO MESA,0,29620,https://www.wikidata.org/wiki/Q492737,Torremolinos,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54519.pdf,
54406,Pizarra Railway Station,,36.765619,-4.7111214,PLAZA ESTACION FERROCARRIL,0,29569,,Pizarra,,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54406.pdf,
54520,Plaza Mayor train station,https://www.wikidata.org/wiki/Q8841487,36.6560328,-4.4800137,CALLE ALFONSO PONCE DE LEON,0,29004,https://www.wikidata.org/wiki/Q8851,Málaga,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54520.pdf,
54514,TORREBLANCA,,36.5636,-4.60966,CALLE PUEBLA BLANCA,0,29640,,Fuengirola,,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54514.pdf,
54509,Torremolinos train station,https://www.wikidata.org/wiki/Q5847350,36.6253108,-4.4966871,PLAZA DE LA NOGALERA,0,29620,https://www.wikidata.org/wiki/Q492737,Torremolinos,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54509.pdf,
54512,Torremuelle Station,https://www.wikidata.org/wiki/Q5847352,36.5798535,-4.573148,URBANIZACION TORREMUELLE,0,29639,https://www.wikidata.org/wiki/Q488869,Benalmádena,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54512.pdf,
54501,Victoria Kent train station,https://www.wikidata.org/wiki/Q8842201,36.6962281,-4.4652369,PLATERO FRANCISCO VAZQUEZ,0,29003,https://www.wikidata.org/wiki/Q8851,Málaga,https://www.wikidata.org/wiki/Q95028,Málaga Province,https://data.renfe.com/files/estaciones/FichaEstacion54501.pdf,
